"Date","Price","Open","High","Low","Change %"
"Sep 12, 2018","7.9761","7.9761","7.9934","7.9489","-0.02%"
"Sep 11, 2018","7.9775","7.9501","7.9888","7.9405","0.37%"
"Sep 10, 2018","7.9483","7.9105","7.9698","7.9016","0.53%"
"Sep 07, 2018","7.9066","7.9439","7.9711","7.9045","-0.47%"
"Sep 06, 2018","7.9442","7.9436","7.9656","7.9268","0.00%"
"Sep 05, 2018","7.9439","7.9286","7.9516","7.8968","0.21%"
"Sep 04, 2018","7.9270","7.9287","7.9328","7.8907","-0.05%"
"Sep 03, 2018","7.9307","7.9233","7.9414","7.9123","0.05%"
"Aug 31, 2018","7.9266","7.9864","7.9912","7.9143","-0.77%"
"Aug 30, 2018","7.9878","7.9862","8.0081","7.9586","0.02%"
"Aug 29, 2018","7.9863","7.9573","7.9900","7.9473","0.38%"
"Aug 28, 2018","7.9562","7.9595","7.9787","7.9470","-0.04%"
"Aug 27, 2018","7.9593","7.9139","7.9702","7.8989","0.61%"
"Aug 24, 2018","7.9111","7.9375","7.9770","7.9070","-0.32%"
"Aug 23, 2018","7.9366","7.9341","7.9729","7.9108","0.03%"
"Aug 22, 2018","7.9344","7.9210","7.9511","7.9095","0.15%"
"Aug 21, 2018","7.9229","7.8737","7.9441","7.8684","0.62%"
"Aug 20, 2018","7.8738","7.8685","7.8772","7.8163","0.10%"
"Aug 17, 2018","7.8658","7.8298","7.8720","7.8194","0.45%"
"Aug 16, 2018","7.8303","7.8693","7.8789","7.8083","-0.47%"
"Aug 15, 2018","7.8674","7.8076","7.8758","7.8000","0.74%"
"Aug 14, 2018","7.8095","7.8630","7.8721","7.7999","-0.67%"
"Aug 13, 2018","7.8622","7.8004","7.8726","7.7840","0.63%"
"Aug 10, 2018","7.8133","7.8628","7.8894","7.7948","-0.63%"
"Aug 09, 2018","7.8625","7.9353","7.9408","7.8613","-0.94%"
"Aug 08, 2018","7.9370","7.9207","7.9439","7.8899","0.16%"
"Aug 07, 2018","7.9242","7.9196","7.9375","7.9085","0.08%"
"Aug 06, 2018","7.9182","7.9084","7.9302","7.8650","0.18%"
"Aug 03, 2018","7.9043","7.9235","7.9767","7.8988","-0.28%"
"Aug 02, 2018","7.9267","7.9523","7.9614","7.9253","-0.36%"
"Aug 01, 2018","7.9552","7.9628","7.9886","7.9430","-0.12%"
"Jul 31, 2018","7.9650","7.9828","8.0312","7.9582","-0.16%"
"Jul 30, 2018","7.9776","7.9456","7.9909","7.9417","0.43%"
"Jul 27, 2018","7.9431","7.9052","7.9549","7.9011","0.44%"
"Jul 26, 2018","7.9085","7.9426","7.9700","7.9058","-0.39%"
"Jul 25, 2018","7.9398","7.9398","7.9539","7.8943","0.04%"
"Jul 24, 2018","7.9364","7.9424","7.9817","7.9276","-0.08%"
"Jul 23, 2018","7.9424","7.9353","7.9600","7.9195","0.09%"
"Jul 20, 2018","7.9355","7.8890","7.9489","7.8831","0.60%"
"Jul 19, 2018","7.8882","7.8233","7.9132","7.8193","0.87%"
"Jul 18, 2018","7.8204","7.8190","7.8377","7.7979","-0.00%"
"Jul 17, 2018","7.8205","7.8361","7.8479","7.8132","-0.19%"
"Jul 16, 2018","7.8353","7.8166","7.8414","7.8103","0.20%"
"Jul 13, 2018","7.8195","7.7774","7.8216","7.7588","0.47%"
"Jul 12, 2018","7.7829","7.7992","7.8301","7.7725","-0.21%"
"Jul 11, 2018","7.7996","7.7920","7.8537","7.7768","0.17%"
"Jul 10, 2018","7.7861","7.7704","7.7907","7.7505","0.15%"
"Jul 09, 2018","7.7746","7.8047","7.8133","7.7614","-0.38%"
"Jul 06, 2018","7.8041","7.7599","7.8185","7.7553","0.58%"
"Jul 05, 2018","7.7594","7.7302","7.7798","7.7276","0.36%"
"Jul 04, 2018","7.7312","7.7409","7.7535","7.7019","-0.15%"
"Jul 03, 2018","7.7431","7.7626","7.8182","7.7312","-0.23%"
"Jul 02, 2018","7.7612","7.7148","7.7672","7.7022","0.32%"
"Jun 29, 2018","7.7367","7.6673","7.7412","7.6600","0.91%"
"Jun 28, 2018","7.6669","7.6296","7.6841","7.6276","0.47%"
"Jun 27, 2018","7.6307","7.6649","7.7145","7.6221","-0.42%"
"Jun 26, 2018","7.6632","7.6533","7.6867","7.6499","0.11%"
"Jun 25, 2018","7.6544","7.5855","7.6616","7.5790","0.93%"
"Jun 22, 2018","7.5838","7.5347","7.5916","7.5320","0.66%"
"Jun 21, 2018","7.5341","7.4924","7.5549","7.4856","0.57%"
"Jun 20, 2018","7.4915","7.5134","7.5186","7.4642","-0.33%"
"Jun 19, 2018","7.5164","7.4892","7.5202","7.4699","0.43%"
"Jun 18, 2018","7.4844","7.4755","7.4858","7.4459","0.12%"
"Jun 15, 2018","7.4755","7.4028","7.4877","7.3945","0.94%"
"Jun 14, 2018","7.4062","7.5440","7.5782","7.4017","-1.83%"
"Jun 13, 2018","7.5443","7.5205","7.5519","7.5021","0.32%"
"Jun 12, 2018","7.5201","7.5460","7.5648","7.5123","-0.31%"
"Jun 11, 2018","7.5438","7.5359","7.5697","7.5282","0.06%"
"Jun 08, 2018","7.5393","7.5431","7.5659","7.5202","-0.04%"
"Jun 07, 2018","7.5421","7.5214","7.5725","7.5201","0.28%"
"Jun 06, 2018","7.5214","7.5075","7.5358","7.4896","0.20%"
"Jun 05, 2018","7.5066","7.4947","7.5163","7.4643","0.10%"
"Jun 04, 2018","7.4988","7.4863","7.5251","7.4828","0.16%"
"Jun 01, 2018","7.4865","7.4966","7.5197","7.4596","-0.11%"
"May 31, 2018","7.4949","7.4868","7.5085","7.4621","0.11%"
"May 30, 2018","7.4864","7.4060","7.4962","7.4002","1.09%"
"May 29, 2018","7.4059","7.4393","7.4636","7.3912","-0.43%"
"May 28, 2018","7.4382","7.4471","7.4957","7.4281","-0.13%"
"May 25, 2018","7.4477","7.4740","7.4970","7.4428","-0.37%"
"May 24, 2018","7.4751","7.4741","7.4991","7.4703","0.04%"
"May 23, 2018","7.4720","7.4990","7.5077","7.4586","-0.38%"
"May 22, 2018","7.5003","7.5268","7.5332","7.4933","-0.36%"
"May 21, 2018","7.5271","7.5037","7.5303","7.4884","0.17%"
"May 18, 2018","7.5141","7.5111","7.5347","7.4962","0.06%"
"May 17, 2018","7.5094","7.5255","7.5346","7.5006","-0.18%"
"May 16, 2018","7.5232","7.5480","7.5530","7.4993","-0.35%"
"May 15, 2018","7.5497","7.5581","7.5867","7.5363","-0.15%"
"May 14, 2018","7.5609","7.5702","7.6063","7.5602","-0.06%"
"May 11, 2018","7.5654","7.5611","7.5768","7.5448","0.00%"
"May 10, 2018","7.5651","7.5423","7.5820","7.5366","0.34%"
"May 09, 2018","7.5397","7.5598","7.5726","7.5327","-0.25%"
"May 08, 2018","7.5584","7.5888","7.6010","7.5393","-0.43%"
"May 07, 2018","7.5907","7.6037","7.6204","7.5755","-0.25%"
"May 04, 2018","7.6098","7.6199","7.6286","7.5815","-0.10%"
"May 03, 2018","7.6171","7.6038","7.6341","7.5911","0.17%"
"May 02, 2018","7.6038","7.5963","7.6562","7.5931","0.11%"
"May 01, 2018","7.5958","7.6483","7.6540","7.5875","-0.70%"
"Apr 30, 2018","7.6497","7.6787","7.6889","7.6402","-0.42%"
"Apr 27, 2018","7.6822","7.6681","7.6853","7.6399","0.17%"
"Apr 26, 2018","7.6692","7.6932","7.7222","7.6646","-0.32%"
"Apr 25, 2018","7.6938","7.7141","7.7216","7.6931","-0.27%"
"Apr 24, 2018","7.7148","7.7146","7.7236","7.6921","0.03%"
"Apr 23, 2018","7.7125","7.7369","7.7420","7.7055","-0.32%"
"Apr 20, 2018","7.7370","7.7514","7.7664","7.7133","-0.20%"
"Apr 19, 2018","7.7522","7.7637","7.7809","7.7415","-0.15%"
"Apr 18, 2018","7.7637","7.7713","7.7885","7.7618","-0.10%"
"Apr 17, 2018","7.7718","7.7703","7.7979","7.7499","0.02%"
"Apr 16, 2018","7.7699","7.7359","7.7854","7.7321","0.42%"
"Apr 13, 2018","7.7377","7.7538","7.7665","7.7294","-0.23%"
"Apr 12, 2018","7.7555","7.7539","7.7787","7.7389","0.03%"
"Apr 11, 2018","7.7529","7.7643","7.7933","7.7404","-0.14%"
"Apr 10, 2018","7.7636","7.7708","7.7910","7.7435","-0.09%"
"Apr 09, 2018","7.7706","7.7447","7.7790","7.7280","0.33%"
"Apr 06, 2018","7.7447","7.7175","7.7503","7.7012","0.35%"
"Apr 05, 2018","7.7176","7.7416","7.7504","7.7038","-0.31%"
"Apr 04, 2018","7.7415","7.7164","7.7618","7.7126","0.30%"
"Apr 03, 2018","7.7180","7.7263","7.7540","7.7064","-0.11%"
"Apr 02, 2018","7.7263","7.7321","7.7576","7.7137","-0.08%"
"Mar 30, 2018","7.7328","7.7367","7.7436","7.7114","-0.05%"
"Mar 29, 2018","7.7370","7.7508","7.7728","7.7257","-0.19%"
"Mar 28, 2018","7.7515","7.7908","7.8082","7.7465","-0.53%"
"Mar 27, 2018","7.7930","7.8068","7.8175","7.7709","-0.16%"
"Mar 26, 2018","7.8057","7.7986","7.8210","7.7777","0.04%"
"Mar 23, 2018","7.8022","7.7946","7.8216","7.7851","0.11%"
"Mar 22, 2018","7.7933","7.8026","7.8302","7.7826","-0.11%"
"Mar 21, 2018","7.8016","7.7565","7.8098","7.7466","0.61%"
"Mar 20, 2018","7.7541","7.8085","7.8225","7.7522","-0.73%"
"Mar 19, 2018","7.8108","7.7796","7.8272","7.7651","0.33%"
"Mar 16, 2018","7.7854","7.7828","7.8062","7.7646","0.08%"
"Mar 15, 2018","7.7790","7.8099","7.8247","7.7752","-0.44%"
"Mar 14, 2018","7.8135","7.8336","7.8454","7.7996","-0.24%"
"Mar 13, 2018","7.8325","7.8095","7.8445","7.8001","0.31%"
"Mar 12, 2018","7.8080","7.7954","7.8156","7.7789","0.19%"
"Mar 09, 2018","7.7934","7.8095","7.8201","7.7774","-0.19%"
"Mar 08, 2018","7.8086","7.8529","7.8868","7.7997","-0.53%"
"Mar 07, 2018","7.8505","7.8297","7.8663","7.8297","0.31%"
"Mar 06, 2018","7.8266","7.8328","7.8610","7.8165","-0.08%"
"Mar 05, 2018","7.8328","7.8168","7.8441","7.7738","0.22%"
"Mar 02, 2018","7.8159","7.7998","7.8281","7.7770","0.21%"
"Mar 01, 2018","7.7999","7.7181","7.8031","7.7112","1.03%"
"Feb 28, 2018","7.7201","7.7318","7.7520","7.7145","-0.10%"
"Feb 27, 2018","7.7275","7.7739","7.7892","7.7199","-0.67%"
"Feb 26, 2018","7.7797","7.7942","7.7966","7.7546","-0.14%"
"Feb 23, 2018","7.7907","7.8304","7.8361","7.7838","-0.50%"
"Feb 22, 2018","7.8299","7.7954","7.8445","7.7840","0.41%"
"Feb 21, 2018","7.7981","7.8329","7.8469","7.7962","-0.44%"
"Feb 20, 2018","7.8323","7.8774","7.8806","7.8209","-0.56%"
"Feb 19, 2018","7.8765","7.8777","7.8942","7.8511","0.01%"
"Feb 16, 2018","7.8755","7.9390","7.9713","7.8679","-0.80%"
"Feb 15, 2018","7.9390","7.9029","7.9422","7.9016","0.45%"
"Feb 14, 2018","7.9035","7.8341","7.9142","7.7846","0.91%"
"Feb 13, 2018","7.8324","7.7791","7.8482","7.7738","0.70%"
"Feb 12, 2018","7.7778","7.7183","7.7816","7.7114","0.96%"
"Feb 09, 2018","7.7042","7.7419","7.7606","7.6860","-0.57%"
"Feb 08, 2018","7.7487","7.6892","7.7911","7.6823","0.77%"
"Feb 07, 2018","7.6895","7.7820","7.7927","7.6776","-1.12%"
"Feb 06, 2018","7.7767","7.7729","7.8088","7.7370","-0.03%"
"Feb 05, 2018","7.7792","7.8512","7.8596","7.7754","-0.93%"
"Feb 02, 2018","7.8525","7.8810","7.8853","7.8191","-0.36%"
"Feb 01, 2018","7.8807","7.8042","7.8895","7.7987","0.89%"
"Jan 31, 2018","7.8114","7.8431","7.8720","7.7893","-0.40%"
"Jan 30, 2018","7.8430","7.8469","7.8736","7.8226","-0.05%"
"Jan 29, 2018","7.8473","7.8593","7.8688","7.8182","-0.04%"
"Jan 26, 2018","7.8502","7.8326","7.8983","7.8174","0.14%"
"Jan 25, 2018","7.8393","7.9034","7.9289","7.8184","-0.82%"
"Jan 24, 2018","7.9039","7.8776","7.9096","7.8600","0.34%"
"Jan 23, 2018","7.8772","7.8584","7.8829","7.8326","0.29%"
"Jan 22, 2018","7.8541","7.8524","7.8575","7.8233","0.35%"
"Jan 19, 2018","7.8266","7.8589","7.8722","7.8247","-0.39%"
"Jan 18, 2018","7.8575","7.8423","7.8723","7.8289","0.21%"
"Jan 17, 2018","7.8408","7.8957","7.9371","7.8345","-0.76%"
"Jan 16, 2018","7.9007","7.8977","7.9148","7.8572","0.09%"
"Jan 15, 2018","7.8938","7.8834","7.9143","7.8365","0.25%"
"Jan 12, 2018","7.8740","7.8165","7.8759","7.7986","0.74%"
"Jan 11, 2018","7.8159","7.7717","7.8320","7.7619","0.52%"
"Jan 10, 2018","7.7753","7.7943","7.8197","7.7714","-0.25%"
"Jan 09, 2018","7.7944","7.7790","7.7970","7.7731","0.21%"
"Jan 08, 2018","7.7782","7.8071","7.8232","7.7710","-0.36%"
"Jan 05, 2018","7.8060","7.8354","7.8445","7.7992","-0.39%"
"Jan 04, 2018","7.8362","7.8119","7.8505","7.8061","0.29%"
"Jan 03, 2018","7.8134","7.8292","7.8498","7.8042","-0.22%"
"Jan 02, 2018","7.8304","7.8189","7.8453","7.8059","0.20%"
"Jan 01, 2018","7.8145","7.8099","7.8171","7.8047","0.10%"
"Dec 29, 2017","7.8067","7.8018","7.8275","7.7737","0.05%"
"Dec 28, 2017","7.8028","7.7952","7.8146","7.7913","0.10%"
"Dec 27, 2017","7.7947","7.7601","7.8104","7.7575","0.43%"
"Dec 26, 2017","7.7617","7.7617","7.7857","7.7525","-0.01%"
"Dec 25, 2017","7.7621","7.7915","7.7980","7.7542","-0.48%"
"Dec 22, 2017","7.7998","7.8201","7.8220","7.7801","-0.24%"
"Dec 21, 2017","7.8185","7.8084","7.8290","7.7812","0.11%"
"Dec 20, 2017","7.8098","7.8193","7.8294","7.7827","-0.13%"
"Dec 19, 2017","7.8199","7.7952","7.8272","7.7885","0.32%"
"Dec 18, 2017","7.7951","7.7693","7.8302","7.7581","0.34%"
"Dec 15, 2017","7.7687","7.7848","7.8063","7.7667","-0.21%"
"Dec 14, 2017","7.7847","7.8259","7.8389","7.7794","-0.53%"
"Dec 13, 2017","7.8260","7.7750","7.8300","7.7630","0.66%"
"Dec 12, 2017","7.7750","7.7887","7.8075","7.7591","-0.19%"
"Dec 11, 2017","7.7895","7.7923","7.8193","7.7862","-0.00%"
"Dec 08, 2017","7.7896","7.7911","7.7950","7.7613","-0.04%"
"Dec 07, 2017","7.7929","7.8038","7.8214","7.7923","-0.13%"
"Dec 06, 2017","7.8029","7.8267","7.8400","7.7930","-0.32%"
"Dec 05, 2017","7.8277","7.8560","7.8633","7.8113","-0.35%"
